,property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_category,floor_category
0,flat,sohna road,0.87,2,2,3+,Relatively New,1131.0,1,0,0,0,0,0,MODERATE,Mid Floor
1,flat,sector 69,2.0,4,4,2,Relatively New,1889.0,0,0,0,0,0,0,HIGH,Low Floor
2,flat,sector 47,2.4,3,3,3+,Moderately Old,1888.0,0,1,0,0,0,1,MODERATE,Mid Floor
3,flat,sector 83,1.75,3,3,3,Relatively New,1600.0,0,1,0,0,0,1,HIGH,Mid Floor
4,flat,sector 82,0.63,2,2,3+,Relatively New,1026.0,1,0,0,0,0,0,MODERATE,Low Floor
5,house,sector 105,1.2,4,4,1,Moderately Old,900.0,0,0,0,0,1,0,LOW,Low Floor
6,flat,sector 33,1.65,2,2,3,Under Construction,1279.0,0,0,0,0,0,0,LOW,Low Floor
7,flat,sector 95,0.38,3,2,1,Relatively New,716.0,0,0,0,1,0,1,MODERATE,Low Floor
8,flat,sector 65,2.55,3,3,3,Relatively New,1650.0,1,1,0,0,0,0,LOW,Mid Floor
9,flat,sector 95,0.27,2,2,0,Relatively New,758.0,0,0,0,0,0,0,LOW,Low Floor
10,house,sector 25,10.0,5,6,3,Old Property,2700.0,0,1,1,0,0,1,MODERATE,Mid Floor
11,flat,sector 90,0.65,2,2,3,Relatively New,1222.0,1,0,0,0,0,0,HIGH,Mid Floor
12,flat,sector 66,3.45,3,4,3,Relatively New,2000.0,0,1,0,0,0,1,MODERATE,Mid Floor
13,flat,sector 85,1.14,2,2,3,Relatively New,1604.0,0,0,0,0,0,0,LOW,High Floor
14,flat,sector 108,1.7,3,4,3+,Relatively New,1500.29,0,1,0,0,0,0,MODERATE,High Floor
15,flat,sector 69,1.8,4,5,3+,Relatively New,2200.0,0,1,0,0,0,0,HIGH,Mid Floor
16,flat,sector 90,1.27,3,3,3+,Relatively New,1500.0,0,0,0,0,1,0,MODERATE,Low Floor
